date,product,stations,price
2024-11-08,unleaded95,4076,1.775
2024-11-07,unleaded95,4076,1.775
2016-06-01,unleaded95,4060,1.776
2024-11-05,unleaded95,4014,1.777
2024-10-30,unleaded95,4230,1.79
2024-10-23,unleaded95,4512,1.792
2024-10-21,unleaded95,4486,1.794
2024-10-16,unleaded95,4390,1.79
2024-10-15,unleaded95,4268,1.783
2024-10-11,unleaded95,4195,1.773
2024-10-10,unleaded95,4163,1.769
2024-10-07,unleaded95,3928,1.754
2024-10-02,unleaded95,4018,1.751
2024-09-30,unleaded95,4048,1.751
2024-09-26,unleaded95,4343,1.752
2024-09-25,unleaded95,4437,1.749
2024-09-20,unleaded95,4511,1.745
2024-09-17,unleaded95,4480,1.745
2024-10-18,unleaded95,4459,1.764
2024-09-10,unleaded95,4432,1.77
2024-10-08,unleaded95,4458,1.781
2024-09-07,unleaded95,4452,1.787
2024-09-09,unleaded95,4436,1.794
2024-09-05,unleaded95,4428,1.8
2024-09-04,unleaded95,4403,1.804
2024-09-02,unleaded95,4338,1.81
2024-08-30,unleaded95,4352,1.813
2024-08-27,unleaded95,4245,1.821
2024-08-26,unleaded95,4179,1.826
2024-08-22,unleaded95,4358,1.845
2024-08-21,unleaded95,4354,1.848
2024-08-20,unleaded95,4312,1.849
2024-08-19,unleaded95,4314,1.85
2024-08-16,unleaded95,4371,1.852
2024-08-13,unleaded95,4345,1.852
2024-08-09,unleaded95,4298,1.864
2024-08-08,unleaded95,4270,1.87
2024-08-06,unleaded95,4211,1.876
2024-08-02,unleaded95,4259,1.881
2024-08-01,unleaded95,4253,1.882
2024-07-31,unleaded95,4238,1.884
2024-07-30,unleaded95,4208,1.883
2024-07-29,unleaded95,4171,1.884
2024-07-25,unleaded95,4143,1.889
2024-07-24,unleaded95,4133,1.891
2024-07-23,unleaded95,4077,1.893
2024-07-22,unleaded95,4086,1.896
2024-07-19,unleaded95,4175,1.903
2024-07-18,unleaded95,4178,1.905
2024-07-16,unleaded95,4155,1.908
2024-07-15,unleaded95,4165,1.909
2024-07-12,unleaded95,4272,1.912
